     possibly_sensitive retweeted_status  reaction
201           0.6251813        0.7527527 0.8292163
202           0.6046422        0.7654549 0.8283294
203           0.6033795        0.7669693 0.8333245
204           0.6022303        0.7672198 0.8311379
205           0.6104002        0.7636596 0.8334853
206           0.6164363        0.7608633 0.8307726
207           0.6181270        0.7607421 0.8261695
208           0.6071372        0.7680282 0.8221724
209           0.6094866        0.7640992 0.8336796
210           0.6173523        0.7604937 0.8299539
211           0.6265168        0.7517257 0.8280890
212           0.6132020        0.7641830 0.8233124
213           0.6183486        0.7567638 0.8251711
214           0.6072761        0.7679416 0.8221886
215           0.6161903        0.7609682 0.8309570
216           0.6148300        0.7599795 0.8233837
217           0.6073902        0.7636634 0.8268804
218           0.6254528        0.7523583 0.8271332
219           0.6023420        0.7673500 0.8323520
220           0.6083609        0.7630423 0.8265087
221           0.6041030        0.7666519 0.8336201
222           0.6241620        0.7534633 0.8290081
223           0.6021717        0.7673385 0.8317021
224           0.6107091        0.7635113 0.8334089
225           0.6132403        0.7623076 0.8325683
226           0.6156533        0.7612024 0.8313238
227           0.6166222        0.7607853 0.8306251
228           0.6029163        0.7666495 0.8298566
229           0.6155546        0.7612461 0.8313866
230           0.6037181        0.7668230 0.8334814
231           0.6131563        0.7642127 0.8232991
232           0.6028990        0.7666623 0.8298781
233           0.6041985        0.7666089 0.8336493
234           0.6166583        0.7578190 0.8251158
235           0.6201988        0.7562189 0.8272219
236           0.6200996        0.7556724 0.8253579
237           0.6116337        0.7609695 0.8256158
238           0.6118982        0.7608029 0.8255646
239           0.6009329        0.7718546 0.8217311
240           0.6139645        0.7605900 0.8226491
241           0.6022022        0.7672550 0.8312677
242           0.6109070        0.7656573 0.8227553
243           0.6218225        0.7546004 0.8256900
244           0.6169002        0.7585244 0.8250175
245           0.6120089        0.7628899 0.8330265
246           0.6023355        0.7673514 0.8323388
247           0.6148839        0.7589288 0.8251801
248           0.6033000        0.7704028 0.8218425
249           0.6218799        0.7550492 0.8281209
250           0.5876719        0.7798781 0.8219292
251           0.6139810        0.7594946 0.8252596
252           0.6169766        0.7606404 0.8303204
253           0.6176507        0.7603849 0.8296172
254           0.6167715        0.7617803 0.8248532
255           0.6175650        0.7611966 0.8254868
256           0.5849229        0.7815255 0.8220943
257           0.6259626        0.7520499 0.8275040
258           0.6110443        0.7613410 0.8257405
259           0.6184135        0.7601932 0.8282629
260           0.6159675        0.7610646 0.8311147
261           0.6027845        0.7667480 0.8300273
262           0.6051793        0.7650989 0.8279852
263           0.6251028        0.7528076 0.8292065
264           0.6084891        0.7629606 0.8264638
265           0.6089552        0.7668909 0.8224134
266           0.6098691        0.7620839 0.8260344
267           0.6097605        0.7639673 0.8336264
268           0.6057821        0.7647035 0.8276404
269           0.6130149        0.7624136 0.8326597
270           0.6200368        0.7557115 0.8253488
271           0.6245058        0.7532241 0.8290959
272           0.6080305        0.7632533 0.8266289
273           0.6075533        0.7635587 0.8268138
274           0.6070803        0.7638626 0.8270116
275           0.6266683        0.7516824 0.8288373
276           0.6266007        0.7516800 0.8282278
277           0.6267122        0.7516396 0.8286740
278           0.6182985        0.7605844 0.8264837
279           0.6186059        0.7573304 0.8262234
280           0.6033249        0.7669924 0.8332953
281           0.6035753        0.7661793 0.8291633
282           0.6078731        0.7675690 0.8222622
283           0.6075729        0.7651364 0.8163674
284           0.6178558        0.7609687 0.8257987
285           0.6168431        0.7585645 0.8249749
286           0.6039005        0.7667424 0.8335516
287           0.6173110        0.7613881 0.8252574
288           0.5901623        0.7783818 0.8218101
289           0.6180441        0.7608134 0.8260444
290           0.6120094        0.7607329 0.8255439
291           0.6128970        0.7624691 0.8327061
292           0.6029893        0.7665959 0.8297681
293           0.6171853        0.7614810 0.8251545
294           0.6169931        0.7606337 0.8303053
295           0.5790000        0.7850623 0.8225543
296           0.6117312        0.7630222 0.8331166
297           0.6032377        0.7670289 0.8332460
298           0.6181221        0.7607464 0.8261618
299           0.6242319        0.7534147 0.8290272
300           0.6033766        0.7663183 0.8293515
301           0.6164867        0.7588145 0.8247056
302           0.6075721        0.7635467 0.8268063
303           0.6029698        0.7666101 0.8297913
304           0.6040337        0.7658644 0.8287745
305           0.6031537        0.7704927 0.8218338
306           0.6115412        0.7610277 0.8256344
307           0.6248763        0.7527109 0.8267966
308           0.6177098        0.7579572 0.8256065
309           0.6059116        0.7646191 0.8275713
310           0.6153336        0.7627743 0.8240757
311           0.6073658        0.7636791 0.8268905
312           0.5918622        0.7773582 0.8217473
313           0.6258450        0.7522862 0.8292364
314           0.6083325        0.7630604 0.8265188
315           0.6166552        0.7578210 0.8251158
316           0.6033971        0.7663039 0.8293314
317           0.6135250        0.7621743 0.8324477
318           0.6221780        0.7548420 0.8282611
319           0.6095285        0.7622998 0.8261315
320           0.6265011        0.7518131 0.8290352
321           0.6030221        0.7665719 0.8297296
322           0.6022607        0.7671864 0.8310272
323           0.6160639        0.7581906 0.8251237
324           0.6232691        0.7537028 0.8261103
325           0.6162864        0.7609270 0.8308864
326           0.6160521        0.7591197 0.8243698
327           0.6167426        0.7607355 0.8305253
328           0.6257187        0.7523755 0.8292431
329           0.6241789        0.7534516 0.8290128
330           0.6102132        0.7660976 0.8226223
331           0.6055019        0.7660064 0.8338995
332           0.6267097        0.7516430 0.8286958
333           0.6215491        0.7552792 0.8279580
334           0.6058082        0.7658620 0.8339273
335           0.6215503        0.7547697 0.8256265
336           0.6267132        0.7516379 0.8286609
337           0.6166212        0.7578422 0.8251159
338           0.6228415        0.7539678 0.8259702




elmtrain.formula 
 Quad ~ Var1 
 quad.data 
 10 
 sig 
Number of hidden neurons:
10 
Activation function:
sig 
Input arc weights:
0.0994892129674554 ...
 -0.065191688016057 ...
 -0.893422121647745 ...
 -0.593450602609664 ...
 -0.315197558142245 ...
 0.667228213511407 ...
 0.89223146205768 ...
 -0.333851912524551 ...
 0.573051008861512 ...
 0.951068294700235 ...
 -0.620915846433491 ...
 -0.114112498704344 ...
Bias of hidden neurons:
0.0551200173795223 ...
 0.350638335570693 ...
 0.603690771386027 ...
 -0.596999461762607 ...
 0.693693559616804 ...
 -0.154678780585527 ...
Output arc weights:
9008.21812915965 ...
 -3.01920958145757 ...
 -10604.8215598073 ...
 6044.88008740609 ...
 -4005.84200782554 ...
 -4241.45884811461 ...
 -4716.45942576001 ...
 17.1395568494827 ...
 5591.90953915339 ...
 -3205.56636730739 ...
 2104.41798376876 ...
 2250.95106396348 ...
 -10544.5256085848 ...
 -236.406915629425 ...
 11744.0253303826 ...
 -6392.51880551062 ...
 4579.09841762266 ...
 4469.04530912164 ...
Predictions on training set:
0.602176739236683 ...
 0.610837535507443 ...
 0.607203929258304 ...
 0.609175784213619 ...
 0.625523457809038 ...
 0.606826034619729 ...
 0.767297245046596 ...
 0.761471518681269 ...
 0.765197279496164 ...
 0.766752187279675 ...
 0.752315282365661 ...
 0.764026430741001 ...
 0.831453214261956 ...
 0.825787747722188 ...
 0.83394616863734 ...
 0.822447244307568 ...
 0.827179560901868 ...
 0.827124284135152 ...
